GRE,GPA,Rank,Admitted
295.0,3.6,3,1
307.0,3.27,2,1
309.0,3.86,4,1
304.0,2.9,1,1
285.0,3.13,2,0
311.0,3.45,2,1
298.0,3.25,3,1
306.0,3.01,1,1
294.0,2.58,1,1
334.0,3.1,4,1
310.0,3.15,2,0
291.0,3.1,2,1
300.0,3.49,4,1
296.0,3.29,2,1
315.0,3.51,2,1
304.0,3.62,3,1
293.0,3.52,1,1
305.0,3.73,1,1
326.0,2.62,3,1
324.0,2.71,2,1
317.0,3.13,1,1
315.0,3.73,2,1
304.0,3.04,3,0
282.0,3.38,3,0
289.0,2.74,3,0
320.0,3.5,2,1
316.0,3.59,4,1
321.0,3.09,2,1
308.0,3.57,3,0
327.0,3.13,1,1
289.0,2.56,4,1
311.0,3.51,3,1
327.0,3.67,3,1
296.0,3.3,2,1
331.0,3.15,3,0
305.0,2.59,3,1
308.0,3.18,3,1
287.0,3.27,3,0
329.0,4.0,1,1
311.0,3.16,2,1
277.0,3.21,3,0
312.0,2.9,2,1
325.0,2.89,4,1
299.0,3.5,3,1
302.0,3.01,2,1
314.0,2.95,4,0
331.0,3.13,2,1
313.0,3.75,3,1
323.0,2.43,3,0
335.0,3.35,4,1
312.0,3.39,2,0
317.0,2.48,4,1
313.0,2.91,3,1
302.0,3.43,2,1
321.0,3.98,2,1
302.0,2.85,4,0
296.0,3.71,4,1
317.0,2.42,3,1
330.0,3.33,2,1
325.0,2.79,4,0
319.0,2.79,1,1
316.0,3.18,1,1
294.0,3.39,2,1
306.0,3.21,3,0
300.0,2.62,1,0
288.0,3.29,1,1
312.0,3.59,1,0
307.0,2.61,2,1
298.0,3.14,1,1
292.0,3.65,1,0
316.0,3.75,1,1
327.0,3.18,2,1
305.0,2.39,1,1
285.0,3.03,3,0
310.0,2.91,2,1
312.0,3.53,1,1
318.0,3.02,3,1
302.0,2.94,3,1
308.0,2.93,2,0
299.0,3.32,1,1
287.0,2.58,3,0
317.0,3.09,3,1
315.0,2.75,4,0
320.0,3.26,3,1
306.0,2.76,3,0
306.0,2.65,2,1
312.0,3.8,2,1
300.0,3.45,1,1
313.0,3.27,4,1
290.0,3.03,3,0
312.0,3.41,2,1
312.0,3.43,1,1
305.0,3.71,2,1
298.0,3.1,3,1
283.0,2.67,2,1
291.0,3.28,1,1
293.0,3.48,2,1
275.0,2.56,2,1
298.0,3.75,3,1
326.0,3.3,3,1
293.0,2.83,2,1
286.0,3.48,4,0
316.0,3.74,4,1
295.0,3.0,1,0
322.0,2.59,2,1
307.0,3.11,2,0
302.0,3.17,1,1
320.0,3.48,3,1
321.0,3.25,3,1
300.0,2.42,2,0
307.0,2.77,4,1
310.0,2.83,3,1
290.0,3.64,2,1
334.0,3.44,3,1
320.0,2.74,3,1
322.0,3.08,3,1
313.0,2.22,4,1
317.0,2.96,4,0
306.0,2.59,2,1
317.0,3.05,2,1
303.0,2.92,1,1
307.0,3.45,2,1
318.0,2.86,1,1
340.0,3.52,1,1
304.0,3.32,4,0
328.0,2.71,1,1
305.0,3.13,1,1
295.0,3.31,3,1
309.0,2.52,3,0
307.0,3.32,2,1
302.0,3.11,4,0
312.0,3.87,2,1
310.0,3.81,2,1
314.0,2.73,3,1
323.0,2.63,1,0
302.0,3.26,3,1
304.0,3.41,4,1
298.0,3.16,4,1
305.0,3.22,4,0
313.0,3.77,1,1
340.0,2.84,2,1
316.0,3.36,4,1
300.0,3.56,4,1
294.0,3.12,3,1
340.0,3.38,3,1
328.0,3.54,2,1
306.0,2.9,2,1
293.0,3.11,1,1
301.0,3.61,4,1
319.0,2.85,2,0
330.0,3.73,4,1
267.0,3.06,1,1
334.0,3.43,3,0
320.0,3.0,3,0
320.0,3.37,1,1
324.0,3.48,3,1
313.0,2.95,3,1
312.0,2.93,3,1
324.0,3.18,3,1
302.0,3.89,3,1
284.0,2.88,3,1
312.0,3.58,2,1
318.0,3.5,4,1
300.0,3.08,2,1
301.0,3.32,2,0
313.0,3.79,4,1
302.0,2.84,2,1
312.0,2.67,2,1
329.0,3.26,3,0
281.0,3.05,3,1
295.0,3.88,2,1
317.0,3.7,1,1
311.0,2.27,3,0
302.0,3.41,3,1
318.0,2.97,3,0
318.0,3.54,2,1
325.0,2.82,4,0
282.0,3.1,3,1
320.0,3.45,4,0
316.0,3.2,3,1
326.0,3.54,3,1
310.0,2.93,3,0
294.0,2.77,4,0
300.0,3.21,2,1
326.0,3.33,3,1
296.0,3.3,3,0
309.0,3.24,3,0
325.0,2.53,1,0
298.0,3.12,2,1
316.0,3.17,4,1
268.0,3.79,3,0
315.0,3.95,1,1
290.0,3.43,2,1
306.0,2.63,4,1
333.0,3.54,4,1
326.0,3.02,3,1
330.0,3.41,1,1
321.0,2.95,2,1
327.0,3.72,1,1
308.0,3.45,1,1
