area_sqft,bhk,age_years,price
1389,2,6,4058114
1574,4,6,4852735
1327,2,8,3659481
1205,2,7,3387359
1463,2,14,4071995
892,2,25,2516310
1265,3,0,3930368
979,2,4,2935988
1123,2,4,3176109
1342,3,12,3908330
1563,2,29,4172315
1557,3,19,4381882
1183,3,21,3413898
923,2,12,2720517
1044,3,16,3151309
1433,3,28,3989860
1461,2,3,4146713
1605,2,21,4365974
949,4,19,3127887
1337,2,20,3758671
1449,2,9,4042677
1349,3,5,3969444
1163,4,13,3696354
1291,2,1,3796514
1299,2,12,3698424
1044,3,29,3012532
1123,4,5,3616395
893,2,5,2663168
600,4,15,2389271
1499,2,0,4294755
958,4,10,3291236
1132,1,22,2859986
1730,3,4,4967763
685,4,22,2482202
1461,2,1,4243853
1092,3,14,3413161
1015,3,26,3022925
1279,2,7,3543466
1003,1,25,2576329
1911,3,17,5262747
752,2,28,2108188
1219,3,0,3690604
792,2,21,2335589
935,1,23,2480355
822,1,17,2296917
1763,3,0,5117042
1484,2,2,4176671
1910,2,22,5120455
1916,3,11,5425611
1717,2,23,4516338
1472,2,2,4229891
1855,2,15,4913873
754,3,17,2448559
1044,2,22,2943125
715,2,21,2163405
1270,4,17,3934099
1435,2,23,3826263
1297,3,29,3767012
1379,3,16,4041382
1388,2,15,3873140
1297,3,5,3861231
789,3,20,2561830
1206,2,10,3444531
979,2,16,2755687
1087,2,10,3145763
1761,4,6,5229299
1213,4,1,4012029
869,2,14,2535365
1243,2,17,3412177
1120,3,19,3401108
1567,3,24,4423459
1278,3,22,3712701
905,3,23,2713734
1318,3,13,4041129
1178,3,20,3517071
975,1,5,2732026
602,2,6,2007375
1253,3,15,3696716
987,2,27,2708578
1402,2,19,3909996
1657,2,3,4607177
2225,3,12,6128467
1226,1,15,3187169
1165,3,12,3536263
914,3,4,2987376
1389,2,11,3921923
664,2,16,2075755
1006,2,11,2940300
1255,2,20,3442691
1343,4,17,4079891
1003,2,26,2803012
1503,4,7,4547203
1069,2,25,2918524
1476,2,17,4015531
1363,3,11,3991469
1454,2,16,4056102
813,2,17,2465044
1211,3,18,3481527
1697,2,9,4664108
1603,3,10,4601257
1067,2,26,2984819
1257,2,10,3566582
1316,4,22,4019164
725,3,12,2389776
1073,2,19,3136106
1367,2,4,3858004
1274,2,17,3544653
1065,1,17,2701210
892,3,1,2868183
1113,2,7,3218289
1015,2,21,2932820
829,1,29,2137090
588,2,26,1729494
1016,2,2,3078254
630,2,0,2118057
1074,2,19,3036865
743,2,10,2314043
1699,2,18,4518169
1103,2,17,3179567
1380,2,26,3807756
1279,4,26,3889827
1381,2,8,3854484
1387,2,21,3784295
1234,3,0,3779326
1649,3,23,4652167
1457,3,0,4347318
1052,4,22,3259088
962,3,25,2952582
1530,2,18,4189204
1315,3,11,3919002
1088,2,19,3084567
672,3,25,2125865
905,2,0,2781913
895,3,10,2882220
1437,1,28,3768429
1242,2,15,3484064
1216,2,0,3557595
1318,1,6,3573925
1378,3,21,3996110
1265,3,21,3697814
1276,2,26,3473824
1118,3,22,3298999
1259,4,24,3869720
1451,3,22,4245452
1336,2,16,3676421
1471,3,23,4201581
1433,2,20,4007296
1311,3,10,3834176
1049,3,23,3104839
1634,2,4,4556022
