order_id,date,region,product,units,unit_price,discount,sales_amount
1001,2024-01-11,South,AP,11.0,99.0,0.05,1034.55
1002,2024-01-21,North,Router,4.0,79.0,0.0,316.0
1003,2024-01-27,North,Cable,3.0,99.0,0.05,282.15
1004,2024-01-19,North,Firewall,11.0,79.0,0.0,869.0
1005,2024-01-07,North,Router,3.0,249.0,0.0,747.0
1006,2024-01-14,West,Router,13.0,79.0,0.1,924.3
1007,2024-01-08,North,Firewall,3.0,249.0,0.0,747.0
1008,2024-01-14,North,Firewall,13.0,49.0,0.0,637.0
1009,2024-01-04,South,Firewall,11.0,149.0,0.0,1639.0
1010,2024-01-02,West,Router,2.0,99.0,0.0,198.0
1011,2024-01-08,North,Firewall,3.0,99.0,0.2,237.6
1012,2024-01-28,South,Cable,2.0,49.0,0.0,98.0
1013,2024-01-14,South,Firewall,7.0,79.0,0.0,553.0
1014,2024-01-04,East,Firewall,6.0,99.0,0.2,475.2
1015,2024-01-27,South,Router,2.0,199.0,0.0,398.0
1016,2024-01-19,South,Cable,6.0,149.0,0.0,894.0
1017,2024-01-04,North,Firewall,5.0,149.0,0.0,745.0
1018,2024-01-02,South,AP,11.0,149.0,0.05,1557.05
1019,2024-01-22,West,Cable,7.0,249.0,0.0,1743.0
1020,2024-01-15,West,Cable,8.0,49.0,0.2,313.6
1021,2024-01-10,South,Switch,6.0,199.0,0.0,1194.0
1022,2024-01-23,South,Router,4.0,99.0,0.05,376.2
1023,2024-01-19,East,Firewall,5.0,149.0,0.0,745.0
1024,2024-01-16,East,AP,5.0,199.0,0.2,796.0
1025,2024-01-10,North,Router,3.0,99.0,0.1,267.3
1026,2024-01-17,West,Switch,7.0,99.0,0.1,623.7
1027,2024-01-25,East,Switch,13.0,149.0,0.1,1743.3
1028,2024-01-30,West,AP,14.0,,0.1,
1029,2024-01-02,North,Firewall,3.0,49.0,0.0,147.0
1030,2024-01-19,East,Cable,12.0,199.0,0.05,2268.6
1031,2024-01-23,East,Firewall,6.0,99.0,0.1,534.6
1032,2024-01-16,West,Router,10.0,,0.1,
1033,2024-01-27,North,Cable,7.0,49.0,0.0,343.0
1034,2024-01-16,North,Router,,99.0,0.05,
1035,2024-01-24,East,Firewall,12.0,249.0,0.0,2988.0
1036,2024-01-22,West,Cable,3.0,149.0,0.0,447.0
1037,2024-01-23,West,Cable,7.0,99.0,0.0,693.0
1038,2024-01-01,West,Cable,12.0,,0.0,
1039,2024-01-06,North,AP,7.0,99.0,0.0,693.0
1040,2024-01-02,South,Cable,7.0,249.0,0.05,1655.85
1041,2024-01-05,South,AP,6.0,199.0,0.1,1074.6
1042,2024-01-13,West,Router,2.0,149.0,0.1,268.2
1043,2024-01-06,West,AP,4.0,199.0,0.0,796.0
1044,2024-01-18,East,Switch,12.0,,0.0,
1045,2024-01-27,West,Firewall,5.0,,0.0,
1046,2024-01-09,West,Cable,,99.0,0.05,
1047,2024-01-22,West,Switch,8.0,49.0,0.0,392.0
1048,2024-01-05,North,Switch,,249.0,0.05,
1049,2024-01-05,South,Switch,,79.0,0.0,
1050,2024-01-01,West,Firewall,1.0,199.0,0.0,199.0
1051,2024-01-06,East,Cable,13.0,,0.0,
1052,2024-01-01,South,AP,3.0,49.0,0.1,132.3
1053,2024-01-18,East,Firewall,,149.0,0.0,
1054,2024-01-19,East,Switch,2.0,149.0,0.0,298.0
1055,2024-01-23,North,AP,7.0,79.0,0.05,525.35
1056,2024-01-29,West,AP,1.0,49.0,0.0,49.0
1057,2024-01-13,West,Router,5.0,49.0,0.1,220.5
1058,2024-01-16,West,Router,6.0,199.0,0.0,1194.0
1059,2024-01-07,North,Switch,6.0,79.0,0.0,474.0
1060,2024-01-15,South,Router,,,0.0,
1061,2024-01-11,North,Router,7.0,99.0,0.0,693.0
1046,2024-01-09,West,Cable,,99.0,0.05,
1003,2024-01-27,North,Cable,3.0,99.0,0.05,282.15
1031,2024-01-23,East,Firewall,6.0,99.0,0.1,534.6
