Match_Type,(All),,,,Tournament,(Multiple Items),,Tournament,(Multiple Items),,,,,,,,,,,,,
,,,,,,,,Match_Type,(All),,,,,,,,,,,,,
Row Labels,Count of Match_ID,,,,Row Labels,Count of Winner,,,,,,,,,,,,,,,,
IPL 2023,3277,,,,Chennai Super Kings,971,,Count of Match_ID,Column Labels,,,,,,,,,,,,,
IPL 2024,3328,,,,Delhi Capitals,1025,,Row Labels,Chennai Super Kings,Delhi Capitals,Gujarat Titans,Kolkata Knight Riders,Lucknow Super Giants,Mumbai Indians,Punjab Kings,Rajasthan Royals,Royal Challengers Bengaluru,Sunrisers Hyderabad,Grand Total,,,
IPL 2025,3395,,,,Gujarat Titans,1058,,Chennai Super Kings,498,54,54,47,48,59,62,55,47,59,983,,,
Grand Total,10000,,,,Kolkata Knight Riders,1036,,Delhi Capitals,47,520,64,61,51,52,68,60,40,58,1021,,,
,,,,,Lucknow Super Giants,1005,,Gujarat Titans,46,47,536,76,53,61,43,39,45,54,1000,,,
,,,,,Mumbai Indians,984,,Kolkata Knight Riders,53,72,51,485,56,58,55,53,68,54,1005,,,
,,,,,Punjab Kings,979,,Lucknow Super Giants,60,40,54,62,491,59,64,54,52,57,993,,,
,,,,,Rajasthan Royals,925,,Mumbai Indians,52,67,59,60,61,492,61,42,51,53,998,,,
,,,,,Royal Challengers Bengaluru,955,,Punjab Kings,56,62,62,55,51,55,485,51,70,71,1018,,,
,,,,,Sunrisers Hyderabad,1062,,Rajasthan Royals,63,53,57,68,66,58,51,475,65,51,1007,,,
,,,,,Grand Total,10000,,Royal Challengers Bengaluru,43,52,54,69,54,49,34,45,458,57,915,,,
,,,,,,,,Sunrisers Hyderabad,53,58,67,53,74,41,56,51,59,548,1060,,,
,,,,,,,,Grand Total,971,1025,1058,1036,1005,984,979,925,955,1062,10000,,,
,,,,,,,,,,,,,,,,,,,,,,
Match_Type,(All),,,,,,,,,,,,,,,,,,,,,
