MatchID,(All),,,,,MatchID,(All),,,,,MatchID,(All)
,,,,,,,,,,,,,
Row Labels,Count of Runs,,,,,Row Labels,Count of Runs,,,,,Row Labels,Count of Runs
Australia,497,,,,,Babar Azam,98,,,,,Australia,497
England,527,,,,,David Warner,108,,,,,England,527
India,482,,,,,Fakhar Zaman,104,,,,,India,482
Pakistan,494,,,,,Glenn Maxwell,111,,,,,Pakistan,494
Grand Total,2000,,,,,Joe Root,127,,,,,Grand Total,2000
,,,,,,Jofra Archer,104,,,,,,
,,,,,,Jonny Bairstow,97,,,,,,
,,,,,,Jos Buttler,109,,,,,,
,,,,,,Mohammad Rizwan,97,,,,,,
,,,,,,Shadab Khan,97,,,,,,
,,,,,,Shaheen Afridi,98,,,,,,
,,,,,,Grand Total,1150,,,,,,
