RecordID,Category,Sales,Date,FunnelStage,Leads
1,Furniture,24915,2023-01-01,Qualified Leads,688
2,Sports,44915,2023-01-02,Deal Closed,469
3,Groceries,42219,2023-01-03,Initial Contact,643
4,Sports,20343,2023-01-04,Qualified Leads,534
5,Sports,43727,2023-01-05,Deal Closed,1732
6,Clothing,5126,2023-01-06,Qualified Leads,1824
7,Groceries,32632,2023-01-07,Negotiation,461
8,Groceries,46563,2023-01-08,Negotiation,985
9,Groceries,49409,2023-01-09,Negotiation,1157
10,Sports,25530,2023-01-10,Initial Contact,1186
11,Furniture,44964,2023-01-11,Negotiation,1810
12,Groceries,49327,2023-01-12,Deal Closed,381
13,Sports,8368,2023-01-13,Qualified Leads,1451
14,Clothing,8797,2023-01-14,Proposal Sent,1828
15,Furniture,18718,2023-01-15,Deal Closed,704
16,Clothing,39560,2023-01-16,Deal Closed,90
17,Furniture,16053,2023-01-17,Negotiation,1843
18,Sports,27116,2023-01-18,Initial Contact,1008
19,Electronics,41244,2023-01-19,Qualified Leads,1870
20,Furniture,41185,2023-01-20,Initial Contact,154
21,Clothing,6645,2023-01-21,Qualified Leads,251
22,Sports,24256,2023-01-22,Qualified Leads,499
23,Furniture,40840,2023-01-23,Initial Contact,1892
24,Electronics,39622,2023-01-24,Deal Closed,1916
25,Electronics,42430,2023-01-25,Qualified Leads,1339
26,Groceries,44282,2023-01-26,Initial Contact,959
27,Groceries,7708,2023-01-27,Qualified Leads,259
28,Clothing,16694,2023-01-28,Proposal Sent,612
29,Furniture,14524,2023-01-29,Deal Closed,1191
30,Furniture,36880,2023-01-30,Negotiation,762
31,Groceries,44224,2023-01-31,Qualified Leads,1450
32,Furniture,41980,2023-02-01,Proposal Sent,1624
33,Furniture,37409,2023-02-02,Negotiation,1613
34,Electronics,18224,2023-02-03,Negotiation,820
35,Groceries,45738,2023-02-04,Qualified Leads,1157
36,Sports,30150,2023-02-05,Initial Contact,503
37,Groceries,39393,2023-02-06,Qualified Leads,716
38,Sports,48082,2023-02-07,Proposal Sent,678
39,Electronics,12973,2023-02-08,Negotiation,1587
40,Clothing,13577,2023-02-09,Qualified Leads,1678
41,Furniture,13070,2023-02-10,Initial Contact,1751
42,Electronics,13666,2023-02-11,Qualified Leads,436
43,Furniture,41368,2023-02-12,Deal Closed,1985
44,Clothing,11783,2023-02-13,Initial Contact,1423
45,Clothing,46914,2023-02-14,Proposal Sent,345
46,Electronics,9971,2023-02-15,Negotiation,307
47,Clothing,18490,2023-02-16,Qualified Leads,1154
48,Sports,6990,2023-02-17,Initial Contact,317
49,Clothing,10299,2023-02-18,Deal Closed,468
50,Furniture,24956,2023-02-19,Initial Contact,284
51,Furniture,27359,2023-02-20,Deal Closed,1906
52,Furniture,42148,2023-02-21,Proposal Sent,1384
53,Furniture,33734,2023-02-22,Negotiation,1886
54,Sports,9757,2023-02-23,Proposal Sent,1035
55,Groceries,24097,2023-02-24,Qualified Leads,1430
56,Electronics,15395,2023-02-25,Initial Contact,1286
57,Furniture,21241,2023-02-26,Deal Closed,623
58,Clothing,43356,2023-02-27,Deal Closed,98
59,Furniture,32696,2023-02-28,Initial Contact,1200
60,Clothing,9944,2023-03-01,Initial Contact,272
61,Clothing,24816,2023-03-02,Qualified Leads,970
62,Furniture,42011,2023-03-03,Proposal Sent,1352
63,Sports,29917,2023-03-04,Deal Closed,1481
64,Clothing,36195,2023-03-05,Qualified Leads,1578
65,Clothing,26566,2023-03-06,Proposal Sent,1367
66,Furniture,14916,2023-03-07,Qualified Leads,1869
67,Clothing,25806,2023-03-08,Deal Closed,326
68,Clothing,14984,2023-03-09,Initial Contact,1511
69,Furniture,6759,2023-03-10,Initial Contact,1180
70,Furniture,46949,2023-03-11,Proposal Sent,1731
71,Electronics,31838,2023-03-12,Negotiation,469
72,Sports,7482,2023-03-13,Proposal Sent,660
73,Sports,29442,2023-03-14,Negotiation,1502
74,Clothing,38719,2023-03-15,Qualified Leads,424
75,Sports,32965,2023-03-16,Qualified Leads,122
76,Clothing,7079,2023-03-17,Deal Closed,1707
77,Electronics,7717,2023-03-18,Negotiation,1103
78,Furniture,32952,2023-03-19,Deal Closed,1261
79,Furniture,25908,2023-03-20,Initial Contact,1437
80,Furniture,47460,2023-03-21,Negotiation,1939
81,Sports,29861,2023-03-22,Proposal Sent,1873
82,Electronics,12311,2023-03-23,Initial Contact,1524
83,Sports,33071,2023-03-24,Initial Contact,244
84,Sports,28570,2023-03-25,Proposal Sent,1229
85,Electronics,23449,2023-03-26,Initial Contact,1245
86,Electronics,38536,2023-03-27,Negotiation,896
87,Electronics,43258,2023-03-28,Deal Closed,1114
88,Electronics,33865,2023-03-29,Initial Contact,1136
89,Furniture,11645,2023-03-30,Negotiation,72
90,Groceries,43000,2023-03-31,Qualified Leads,409
91,Groceries,31737,2023-04-01,Negotiation,1148
92,Electronics,16485,2023-04-02,Deal Closed,609
93,Groceries,43565,2023-04-03,Negotiation,721
94,Groceries,30522,2023-04-04,Proposal Sent,1898
95,Electronics,17342,2023-04-05,Deal Closed,1191
96,Groceries,45806,2023-04-06,Qualified Leads,1685
97,Sports,18087,2023-04-07,Proposal Sent,1453
98,Clothing,42641,2023-04-08,Negotiation,1993
99,Clothing,39249,2023-04-09,Deal Closed,728
100,Electronics,15093,2023-04-10,Qualified Leads,1363
101,Furniture,21438,2023-04-11,Proposal Sent,489
102,Electronics,45411,2023-04-12,Qualified Leads,1741
103,Furniture,31399,2023-04-13,Negotiation,982
104,Clothing,24846,2023-04-14,Qualified Leads,56
105,Electronics,20708,2023-04-15,Initial Contact,1269
106,Sports,49039,2023-04-16,Proposal Sent,470
107,Groceries,15998,2023-04-17,Qualified Leads,1641
108,Furniture,35678,2023-04-18,Negotiation,882
109,Groceries,15682,2023-04-19,Negotiation,1266
110,Groceries,13519,2023-04-20,Qualified Leads,608
111,Electronics,36480,2023-04-21,Negotiation,1221
112,Groceries,24694,2023-04-22,Deal Closed,1860
113,Sports,8300,2023-04-23,Deal Closed,1742
114,Groceries,11722,2023-04-24,Deal Closed,1275
115,Electronics,44986,2023-04-25,Initial Contact,1517
116,Sports,29160,2023-04-26,Qualified Leads,963
117,Clothing,25059,2023-04-27,Initial Contact,1492
118,Groceries,40822,2023-04-28,Negotiation,1500
119,Electronics,18575,2023-04-29,Initial Contact,1056
120,Clothing,12970,2023-04-30,Negotiation,1552
121,Clothing,39911,2023-05-01,Negotiation,1548
122,Furniture,26591,2023-05-02,Proposal Sent,175
123,Sports,36821,2023-05-03,Deal Closed,444
124,Groceries,14503,2023-05-04,Negotiation,866
125,Electronics,23922,2023-05-05,Proposal Sent,930
126,Furniture,17175,2023-05-06,Deal Closed,1879
127,Sports,46124,2023-05-07,Negotiation,625
128,Furniture,26389,2023-05-08,Negotiation,374
129,Sports,5822,2023-05-09,Initial Contact,1465
130,Sports,22327,2023-05-10,Initial Contact,979
131,Groceries,11150,2023-05-11,Deal Closed,1761
132,Sports,9425,2023-05-12,Negotiation,1701
133,Furniture,21032,2023-05-13,Qualified Leads,1513
134,Sports,7198,2023-05-14,Initial Contact,1277
135,Groceries,25079,2023-05-15,Deal Closed,1559
136,Groceries,41220,2023-05-16,Negotiation,882
137,Furniture,46874,2023-05-17,Negotiation,1104
138,Clothing,18859,2023-05-18,Qualified Leads,1461
139,Clothing,36419,2023-05-19,Deal Closed,1698
140,Sports,13705,2023-05-20,Negotiation,1950
141,Electronics,47880,2023-05-21,Initial Contact,1507
142,Sports,28236,2023-05-22,Qualified Leads,886
143,Furniture,27419,2023-05-23,Deal Closed,975
144,Furniture,24978,2023-05-24,Qualified Leads,1449
145,Furniture,42609,2023-05-25,Initial Contact,1417
146,Furniture,20358,2023-05-26,Deal Closed,492
147,Furniture,39177,2023-05-27,Qualified Leads,1652
148,Groceries,34378,2023-05-28,Proposal Sent,124
149,Clothing,42334,2023-05-29,Initial Contact,606
150,Furniture,16382,2023-05-30,Initial Contact,1845
151,Electronics,19596,2023-05-31,Initial Contact,1739
152,Electronics,38572,2023-06-01,Proposal Sent,1228
153,Electronics,18221,2023-06-02,Proposal Sent,1503
154,Electronics,6279,2023-06-03,Negotiation,412
155,Groceries,12083,2023-06-04,Qualified Leads,497
156,Electronics,48861,2023-06-05,Negotiation,1307
157,Furniture,22771,2023-06-06,Qualified Leads,1636
158,Sports,34975,2023-06-07,Proposal Sent,1891
159,Electronics,24063,2023-06-08,Proposal Sent,311
160,Groceries,7106,2023-06-09,Negotiation,1900
161,Groceries,29557,2023-06-10,Deal Closed,174
162,Electronics,25607,2023-06-11,Negotiation,960
163,Sports,42599,2023-06-12,Qualified Leads,294
164,Electronics,33529,2023-06-13,Negotiation,591
165,Groceries,40954,2023-06-14,Initial Contact,534
166,Clothing,32856,2023-06-15,Qualified Leads,171
167,Furniture,7573,2023-06-16,Qualified Leads,174
168,Groceries,17808,2023-06-17,Deal Closed,1622
169,Electronics,40367,2023-06-18,Proposal Sent,219
170,Furniture,41801,2023-06-19,Qualified Leads,173
171,Electronics,46196,2023-06-20,Proposal Sent,1942
172,Electronics,39072,2023-06-21,Negotiation,1108
173,Clothing,28752,2023-06-22,Initial Contact,1160
174,Furniture,22685,2023-06-23,Deal Closed,695
175,Furniture,46401,2023-06-24,Proposal Sent,1781
176,Clothing,16372,2023-06-25,Qualified Leads,835
177,Groceries,13996,2023-06-26,Proposal Sent,250
